"","tmin","tmax","tmean"
"2024-01",-5.4,0.6,-2.4
"2024-02",-7.8,1.9,-3
"2024-03",-7.3,2,-2.7
"2024-04",1.8,13.2,7.5
"2024-05",5,17.4,11.2
"2024-06",9,19.3,14.2
"2024-07",15.4,23.4,19.4
"2024-08",16.1,25.8,21
"2024-09",13.9,22.9,18.4
"2024-10",10.1,23.4,16.8
"2024-11",0.4,9,4.7
"2024-12",-6.5,-0.7,-3.6
